Load: 1 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 62 24 1
2 61 31 1
3 6 11 1
4 71 80 1
5 88 24 1
6 26 42 1
7 11 34 1
8 85 36 1
9 32 45 1
10 3 71 1
11 17 61 1
12 96 37 1
13 85 17 1
14 35 74 1
15 29 83 1
16 80 63 1
17 90 38 1
18 92 41 1
19 49 99 1
20 9 41 1
21 20 98 1
10001 62 24 0
22 10 94 1
23 74 35 1
24 17 42 1
25 10 55 1
26 83 10 1
27 88 98 1
28 3 64 1
29 41 28 1
30 32 1 1
31 50 94 1
32 60 53 1
33 72 26 1
34 58 66 1
10003 6 11 0
35 61 1 1
10024 17 42 0
36 48 5 1
10019 49 99 0
10017 90 38 0
37 63 78 1
38 40 56 1
39 62 33 1
40 43 70 1
41 74 57 1
42 30 19 1
43 50 11 1
44 92 43 1
45 32 7 1
10023 74 35 0
46 15 10 1
47 61 31 1
48 42 26 1
10015 29 83 0
49 98 75 1
50 89 3 1
51 36 49 1
52 73 3 1
53 72 61 1
54 31 80 1
55 17 88 1
56 40 98 1
10027 88 98 0
10002 61 31 0
57 15 8 1
58 96 6 1
10021 20 98 0
59 58 12 1
10013 85 17 0
60 91 54 1
61 89 15 1
10044 92 43 0
62 64 60 1
63 8 54 1
64 54 4 1
10043 50 11 0
65 83 36 1
66 7 29 1
10010 3 71 0
67 38 89 1
68 57 53 1
10030 32 1 0
10032 60 53 0
10057 15 8 0
69 52 15 1
10056 40 98 0
70 51 20 1
71 74 47 1
72 39 21 1
73 11 42 1
10035 61 1 0
74 41 30 1
75 25 32 1
76 39 14 1
77 51 13 1
78 68 65 1
10011 17 61 0
79 66 43 1
10029 41 28 0
80 70 1 1
10020 9 41 0
81 76 12 1
82 81 65 1
83 56 55 1
84 78 20 1
85 100 50 1
86 82 89 1
10053 72 61 0
87 77 73 1
88 35 52 1
89 70 56 1
90 28 58 1
91 6 94 1
92 16 45 1
10054 31 80 0
10012 96 37 0
10062 64 60 0
93 75 1 1
94 86 90 1
95 45 34 1
10022 10 94 0
96 49 56 1
97 87 77 1
10069 52 15 0
98 27 66 1
10079 66 43 0
99 46 61 1
10046 15 10 0
100 58 88 1
101 95 57 1
102 77 60 1
10089 70 56 0
10037 63 78 0
103 18 61 1
10082 81 65 0
104 75 1 1
105 94 69 1
106 3 41 1
10018 92 41 0
107 35 19 1
108 44 23 1
109 52 54 1
110 3 57 1
111 8 22 1
10098 27 66 0
10039 62 33 0
112 87 40 1
113 3 11 1
10078 68 65 0
114 83 25 1
115 95 17 1
116 22 76 1
117 4 11 1
118 24 57 1
119 18 34 1
10097 87 77 0
120 15 37 1
121 57 79 1
122 58 17 1
10009 32 45 0
10048 42 26 0
123 73 61 1
124 47 35 1
125 38 57 1
10092 16 45 0
126 92 61 1
127 61 74 1
10088 35 52 0
128 75 86 1
129 42 74 1
10096 49 56 0
130 86 46 1
131 19 73 1
10031 50 94 0
132 47 67 1
133 28 86 1
10086 82 89 0
134 95 57 1
10034 58 66 0
135 98 27 1
136 4 90 1
137 84 89 1
138 33 84 1
139 54 50 1
140 9 21 1
141 92 81 1
10103 18 61 0
142 19 58 1
143 22 99 1
144 6 92 1
10066 7 29 0
145 2 75 1
10050 89 3 0
146 59 31 1
147 59 91 1
148 81 88 1
149 45 76 1
150 94 15 1
151 21 13 1
152 4 7 1
153 40 80 1
154 8 84 1
10070 51 20 0
155 22 41 1
10109 52 54 0
156 30 33 1
157 45 6 1
158 57 46 1
159 34 92 1
160 5 3 1
161 44 54 1
10121 57 79 0
162 1 23 1
10061 89 15 0
163 32 6 1
10107 35 19 0
164 74 69 1
165 69 32 1
166 73 19 1
167 45 20 1
10077 51 13 0
168 74 54 1
10104 75 1 0
169 22 86 1
170 94 72 1
171 35 65 1
172 13 34 1
173 10 6 1
10083 56 55 0
174 17 71 1
10005 88 24 0
175 43 51 1
176 6 59 1
10135 98 27 0
177 89 52 1
10142 19 58 0
10124 47 35 0
178 5 46 1
10085 100 50 0
179 15 91 1
180 59 78 1
10052 73 3 0
181 70 90 1
10113 3 11 0
182 41 57 1
183 51 14 1
184 4 37 1
10117 4 11 0
185 53 73 1
186 82 71 1
10151 21 13 0
10065 83 36 0
187 90 14 1
188 22 5 1
10128 75 86 0
10108 44 23 0
10137 84 89 0
189 28 35 1
10045 32 7 0
10136 4 90 0
190 51 67 1
191 80 53 1
192 37 38 1
193 28 86 1
194 8 81 1
195 26 32 1
10094 86 90 0
196 35 100 1
10157 45 6 0
197 80 31 1
198 50 93 1
10004 71 80 0
10177 89 52 0
199 14 82 1
10146 59 31 0
200 95 38 1
201 44 14 1
10099 46 61 0
202 80 32 1
203 72 63 1
204 27 3 1
10095 45 34 0
205 99 13 1
206 59 3 1
207 36 14 1
10060 91 54 0
10175 43 51 0
10042 30 19 0
208 3 44 1
10028 3 64 0
10080 70 1 0
10133 28 86 0
209 87 56 1
10161 44 54 0
210 19 14 1
211 74 60 1
10169 22 86 0
212 67 35 1
10087 77 73 0
213 82 68 1
10183 51 14 0
214 72 81 1
215 66 69 1
216 57 31 1
10100 58 88 0
217 17 34 1
10063 8 54 0
218 27 88 1
219 58 12 1
10140 9 21 0
220 16 13 1
221 97 77 1
222 100 89 1
10016 80 63 0
223 13 17 1
224 46 71 1
225 26 28 1
10155 22 41 0
226 95 83 1
10192 37 38 0
10025 10 55 0
227 11 32 1
228 45 78 1
10076 39 14 0
229 23 41 1
230 75 34 1
231 47 50 1
10206 59 3 0
10093 75 1 0
232 56 28 1
233 44 11 1
234 45 60 1
10181 70 90 0
235 71 89 1
236 23 47 1
237 69 72 1
238 77 69 1
239 61 91 1
240 64 42 1
10160 5 3 0
241 87 8 1
242 13 27 1
243 95 97 1
244 95 61 1
10153 40 80 0
10123 73 61 0
10131 19 73 0
245 89 76 1
246 95 96 1
247 86 60 1
10006 26 42 0
248 48 72 1
10071 74 47 0
10227 11 32 0
249 22 56 1
250 88 13 1
251 22 65 1
10049 98 75 0
252 72 17 1
10008 85 36 0
10150 94 15 0
253 54 15 1
10205 99 13 0
254 8 44 1
255 88 1 1
256 41 94 1
10138 33 84 0
10055 17 88 0
10130 86 46 0
10168 74 54 0
257 79 21 1
10217 17 34 0
258 55 63 1
259 78 84 1
260 45 14 1
261 28 26 1
10242 13 27 0
10236 23 47 0
262 72 52 1
263 29 81 1
264 56 35 1
265 97 16 1
266 46 32 1
10162 1 23 0
267 60 80 1
10047 61 31 0
268 83 5 1
269 91 7 1
10176 6 59 0
10199 14 82 0
10234 45 60 0
