Load: 7 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 14 66 1
2 89 2 1
3 67 36 1
4 19 89 1
5 90 19 1
6 32 48 1
7 56 70 1
8 63 92 1
9 76 98 1
10 19 29 1
11 52 58 1
12 79 38 1
13 7 44 1
14 70 58 1
15 86 66 1
16 16 53 1
17 8 64 1
18 21 71 1
19 7 39 1
20 23 27 1
21 17 97 1
22 60 7 1
23 61 20 1
24 98 47 1
25 80 5 1
26 20 50 1
27 95 69 1
28 87 93 1
29 88 41 1
30 73 30 1
31 7 60 1
32 71 63 1
33 19 87 1
34 80 25 1
35 79 82 1
36 8 88 1
37 20 5 1
38 76 81 1
39 90 100 1
40 22 95 1
41 88 24 1
42 29 31 1
43 44 16 1
44 66 2 1
45 9 60 1
46 57 9 1
47 56 51 1
48 90 73 1
49 36 61 1
50 63 74 1
51 83 2 1
52 44 41 1
53 2 78 1
54 20 36 1
55 80 28 1
56 100 52 1
57 1 37 1
58 47 57 1
59 89 49 1
60 79 5 1
61 7 89 1
62 82 41 1
63 75 73 1
64 27 21 1
65 27 35 1
66 75 69 1
67 53 10 1
68 33 29 1
69 67 9 1
70 60 99 1
71 9 94 1
72 4 30 1
73 57 14 1
74 59 24 1
75 47 24 1
76 20 28 1
77 37 96 1
78 57 71 1
79 87 56 1
80 10 39 1
81 85 18 1
82 41 67 1
83 71 10 1
84 25 42 1
85 82 12 1
86 17 42 1
87 28 8 1
88 93 69 1
89 62 94 1
90 5 6 1
91 14 56 1
92 21 28 1
93 87 10 1
94 9 74 1
95 50 85 1
96 12 24 1
97 58 61 1
98 15 11 1
99 96 26 1
100 25 42 1
101 40 15 1
102 49 13 1
103 66 75 1
104 25 47 1
105 38 24 1
106 98 64 1
107 24 42 1
108 71 19 1
109 74 19 1
110 93 76 1
111 25 11 1
112 74 65 1
113 37 74 1
114 73 31 1
115 99 15 1
116 49 46 1
117 14 97 1
118 44 81 1
119 58 27 1
120 95 58 1
121 57 95 1
122 93 45 1
123 45 55 1
124 37 43 1
125 37 26 1
126 79 86 1
127 22 48 1
128 88 89 1
129 89 93 1
130 76 52 1
