Load: 5 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 43 49 1
2 48 79 1
3 97 63 1
4 28 68 1
5 95 46 1
6 68 17 1
7 67 1 1
8 42 30 1
9 25 12 1
10 11 67 1
11 94 35 1
12 72 50 1
13 78 86 1
14 22 1 1
15 66 27 1
16 14 53 1
17 87 89 1
18 89 97 1
19 44 97 1
20 91 84 1
21 21 85 1
22 63 89 1
23 36 46 1
24 59 69 1
25 78 80 1
26 4 23 1
27 70 18 1
28 37 22 1
29 68 82 1
30 59 62 1
31 53 27 1
32 23 97 1
33 69 34 1
34 61 35 1
35 59 43 1
36 82 95 1
37 86 73 1
38 55 13 1
39 67 8 1
40 87 3 1
41 36 69 1
42 1 44 1
43 49 7 1
44 70 35 1
45 92 43 1
46 74 7 1
47 96 30 1
48 92 62 1
49 66 54 1
50 89 70 1
51 79 47 1
52 55 44 1
53 71 92 1
54 69 56 1
55 89 69 1
56 82 15 1
57 51 5 1
58 71 91 1
59 89 11 1
60 86 71 1
61 9 60 1
62 83 91 1
63 76 9 1
64 60 17 1
65 37 1 1
66 11 13 1
67 59 18 1
68 37 59 1
69 74 54 1
70 46 20 1
71 38 15 1
72 84 24 1
73 41 71 1
74 40 83 1
75 52 57 1
76 91 83 1
77 44 84 1
78 49 9 1
79 4 8 1
80 61 66 1
81 38 19 1
82 60 74 1
83 24 92 1
84 2 39 1
85 74 53 1
86 11 31 1
87 13 73 1
88 98 27 1
89 50 53 1
90 38 21 1
91 54 74 1
92 15 31 1
93 80 84 1
94 83 60 1
95 30 38 1
96 78 9 1
97 46 57 1
98 22 44 1
99 30 6 1
100 9 26 1
101 90 98 1
102 98 95 1
103 94 16 1
104 38 63 1
105 62 48 1
106 21 83 1
107 35 19 1
108 24 45 1
109 12 88 1
110 58 70 1
111 83 59 1
112 31 52 1
113 80 52 1
114 6 2 1
115 65 18 1
116 10 14 1
117 80 62 1
118 23 95 1
119 77 65 1
120 59 22 1
121 27 53 1
122 67 99 1
123 1 81 1
124 44 57 1
125 82 78 1
126 92 2 1
127 34 6 1
128 97 86 1
129 39 92 1
130 53 69 1
131 35 67 1
