Load: 5 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 89 83 1
2 41 59 1
3 83 47 1
4 52 69 1
5 27 100 1
6 49 66 1
7 87 32 1
8 70 19 1
9 89 33 1
10 42 14 1
11 33 56 1
12 32 98 1
13 26 74 1
14 63 6 1
15 50 79 1
16 29 44 1
17 95 29 1
18 94 8 1
19 82 80 1
20 95 3 1
21 84 73 1
22 2 66 1
23 89 62 1
24 48 30 1
25 90 54 1
26 68 69 1
27 35 14 1
28 43 80 1
29 13 31 1
30 86 24 1
31 67 24 1
32 62 34 1
33 51 52 1
34 93 33 1
35 92 34 1
36 78 91 1
37 24 95 1
38 53 58 1
39 31 23 1
40 53 75 1
41 70 92 1
42 14 15 1
43 70 65 1
44 38 32 1
45 9 69 1
46 75 6 1
47 66 27 1
48 76 31 1
49 35 52 1
50 41 75 1
51 19 47 1
52 65 62 1
53 89 7 1
54 62 75 1
55 73 33 1
56 64 63 1
57 23 62 1
58 92 39 1
59 81 23 1
60 44 75 1
61 52 53 1
62 81 57 1
63 13 80 1
64 38 37 1
65 35 20 1
66 99 53 1
67 16 62 1
68 65 1 1
69 19 32 1
70 28 72 1
71 72 33 1
72 18 10 1
73 74 16 1
74 46 50 1
75 43 66 1
76 7 19 1
77 60 32 1
78 95 20 1
79 1 15 1
80 58 100 1
81 93 8 1
82 73 16 1
83 32 39 1
84 7 27 1
85 50 35 1
86 63 38 1
87 52 86 1
88 90 48 1
89 19 70 1
90 40 68 1
91 77 61 1
92 81 71 1
93 24 1 1
94 28 44 1
95 57 100 1
96 74 31 1
97 15 98 1
98 62 70 1
99 46 65 1
100 56 42 1
101 69 24 1
102 13 88 1
103 57 27 1
104 29 50 1
105 39 45 1
106 1 72 1
107 14 47 1
10002 41 59 0
108 22 47 1
109 33 73 1
110 32 50 1
111 22 13 1
112 4 50 1
113 5 20 1
114 100 69 1
115 33 27 1
116 89 100 1
117 34 25 1
118 32 20 1
119 94 31 1
120 90 42 1
121 45 26 1
122 34 98 1
10023 89 62 0
123 37 31 1
124 31 21 1
10016 29 44 0
125 57 82 1
126 8 10 1
127 31 53 1
128 84 98 1
129 80 83 1
130 93 80 1
131 77 4 1
132 15 78 1
10033 51 52 0
133 78 45 1
134 71 30 1
10010 42 14 0
135 5 76 1
136 53 7 1
137 79 91 1
138 14 84 1
139 1 33 1
140 49 20 1
141 40 19 1
142 47 37 1
143 23 75 1
144 50 13 1
145 4 85 1
146 61 25 1
147 22 93 1
148 50 100 1
149 40 97 1
150 27 26 1
151 100 6 1
152 77 40 1
153 86 6 1
154 2 51 1
155 8 38 1
156 12 10 1
157 63 43 1
158 57 30 1
159 41 23 1
160 5 97 1
10062 81 57 0
161 58 94 1
162 90 57 1
163 61 53 1
164 90 50 1
165 4 36 1
166 75 4 1
167 57 66 1
168 99 76 1
169 41 10 1
170 73 91 1
10064 38 37 0
171 51 29 1
172 11 91 1
173 54 29 1
174 66 12 1
175 78 69 1
176 74 13 1
177 21 84 1
178 60 3 1
179 28 77 1
180 51 99 1
181 6 95 1
182 64 65 1
183 95 6 1
184 64 89 1
185 2 21 1
186 10 53 1
187 80 13 1
188 30 88 1
189 58 7 1
190 61 15 1
191 52 16 1
192 13 21 1
193 83 61 1
194 37 14 1
195 66 70 1
196 36 51 1
197 48 43 1
198 45 39 1
199 76 63 1
200 57 24 1
201 22 57 1
