Load: 2 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 8 12 1
2 63 4 1
3 45 73 1
4 74 44 1
5 9 25 1
6 25 41 1
7 71 21 1
8 17 24 1
9 23 38 1
10 62 47 1
11 13 68 1
12 66 6 1
13 30 48 1
14 90 86 1
15 94 70 1
16 80 68 1
17 60 6 1
18 10 44 1
19 100 84 1
20 89 67 1
21 24 84 1
22 58 34 1
23 31 64 1
24 81 65 1
25 92 87 1
26 82 90 1
27 100 68 1
28 34 91 1
29 24 4 1
30 46 90 1
31 98 47 1
32 48 92 1
33 91 80 1
34 86 50 1
35 40 7 1
36 47 37 1
37 24 21 1
38 59 34 1
39 61 78 1
40 23 21 1
41 53 85 1
10002 63 4 0
42 30 10 1
10012 66 6 0
43 27 57 1
44 36 72 1
45 20 52 1
10016 80 68 0
46 4 92 1
47 97 20 1
48 44 6 1
49 64 74 1
50 44 92 1
51 8 69 1
52 11 57 1
53 33 88 1
54 46 41 1
55 30 73 1
56 79 91 1
57 47 78 1
58 54 11 1
59 10 87 1
60 34 38 1
61 26 41 1
62 5 82 1
63 69 53 1
64 11 47 1
65 93 36 1
66 70 28 1
67 12 84 1
68 57 77 1
69 4 29 1
70 42 8 1
71 99 29 1
72 53 10 1
73 26 19 1
74 52 22 1
75 41 56 1
76 6 48 1
10028 34 91 0
77 61 72 1
78 18 16 1
79 70 69 1
80 32 69 1
81 17 24 1
82 56 33 1
83 52 3 1
84 22 55 1
85 39 68 1
86 60 1 1
87 82 58 1
10015 94 70 0
88 78 55 1
10022 58 34 0
89 37 100 1
90 76 45 1
91 37 50 1
92 72 67 1
93 77 6 1
94 48 4 1
95 8 89 1
96 49 72 1
10031 98 47 0
97 20 52 1
98 63 78 1
99 25 23 1
100 61 19 1
101 39 11 1
102 76 6 1
103 100 48 1
10067 12 84 0
104 97 83 1
10007 71 21 0
105 37 29 1
10045 20 52 0
106 40 70 1
10061 26 41 0
107 78 57 1
108 63 10 1
10042 30 10 0
10064 11 47 0
109 51 68 1
110 73 83 1
111 20 39 1
112 18 47 1
10001 8 12 0
113 23 14 1
114 18 39 1
115 19 47 1
116 8 14 1
117 22 90 1
10075 41 56 0
118 16 39 1
119 58 84 1
120 21 71 1
121 99 91 1
122 74 41 1
10065 93 36 0
123 76 58 1
124 83 100 1
125 74 41 1
10008 17 24 0
126 33 68 1
127 14 91 1
128 72 85 1
129 48 42 1
130 87 68 1
131 59 52 1
132 37 18 1
10099 25 23 0
133 39 7 1
134 80 72 1
10087 82 58 0
135 50 82 1
136 95 68 1
137 47 89 1
138 33 82 1
139 33 39 1
140 75 82 1
10069 4 29 0
141 63 14 1
142 49 23 1
143 96 35 1
144 36 68 1
145 28 10 1
146 27 57 1
10084 22 55 0
10070 42 8 0
147 47 82 1
10097 20 52 0
148 68 26 1
149 88 73 1
150 28 20 1
151 11 29 1
152 2 90 1
153 77 67 1
10034 86 50 0
154 4 3 1
155 17 2 1
156 70 22 1
10036 47 37 0
157 87 80 1
158 37 23 1
159 56 2 1
160 37 38 1
161 46 53 1
162 33 9 1
163 93 34 1
164 53 87 1
165 91 71 1
166 9 28 1
167 64 59 1
168 50 75 1
169 82 62 1
10139 33 39 0
10046 4 92 0
170 37 71 1
171 56 97 1
172 88 17 1
173 61 95 1
174 89 33 1
175 52 73 1
10104 97 83 0
176 41 77 1
177 91 40 1
178 74 71 1
179 43 72 1
10049 64 74 0
10055 30 73 0
180 71 18 1
181 11 56 1
182 64 77 1
183 27 58 1
10027 100 68 0
10131 59 52 0
10105 37 29 0
184 56 55 1
185 54 50 1
186 23 17 1
10044 36 72 0
187 55 34 1
188 6 28 1
10157 87 80 0
189 82 26 1
190 5 87 1
191 67 51 1
10128 72 85 0
192 51 99 1
193 81 72 1
194 6 86 1
195 13 63 1
196 59 4 1
197 62 86 1
198 78 84 1
199 63 76 1
200 35 36 1
201 57 49 1
202 75 22 1
203 51 95 1
204 43 29 1
10168 50 75 0
205 21 39 1
206 96 8 1
10038 59 34 0
207 1 30 1
10112 18 47 0
208 45 89 1
10056 79 91 0
10169 82 62 0
10020 89 67 0
209 49 47 1
210 72 15 1
211 95 84 1
212 31 87 1
213 5 50 1
214 41 86 1
10089 37 100 0
215 72 76 1
216 61 72 1
217 44 46 1
218 21 69 1
10048 44 6 0
219 27 24 1
220 61 100 1
10174 89 33 0
10187 55 34 0
221 38 92 1
222 70 92 1
223 35 25 1
224 8 25 1
225 65 41 1
226 12 33 1
