Load: 9 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 38 95 1
2 64 39 1
3 27 35 1
4 29 15 1
5 29 48 1
6 42 15 1
7 93 15 1
8 99 9 1
9 39 59 1
10 46 62 1
11 4 21 1
12 92 89 1
13 8 52 1
14 47 54 1
15 87 80 1
16 52 88 1
17 12 32 1
18 1 83 1
19 4 75 1
20 3 29 1
21 66 71 1
22 69 9 1
23 2 38 1
24 55 61 1
25 97 65 1
26 28 75 1
27 26 27 1
28 96 13 1
29 96 58 1
30 12 26 1
31 38 9 1
32 12 13 1
33 93 92 1
34 84 47 1
35 22 31 1
36 43 92 1
37 34 2 1
38 75 25 1
39 72 68 1
40 54 72 1
41 72 21 1
42 32 61 1
43 19 80 1
44 17 56 1
45 70 11 1
46 61 15 1
47 90 59 1
48 5 8 1
49 50 90 1
50 18 36 1
51 62 68 1
52 1 100 1
53 77 92 1
54 27 68 1
55 41 79 1
56 58 1 1
57 21 69 1
58 23 33 1
59 24 22 1
60 71 35 1
61 30 76 1
62 71 40 1
63 7 58 1
64 66 42 1
65 20 29 1
66 65 73 1
67 91 26 1
68 48 70 1
69 80 61 1
70 63 73 1
71 3 28 1
72 90 65 1
73 50 86 1
74 65 37 1
75 41 86 1
76 49 7 1
77 91 78 1
78 4 64 1
79 71 81 1
80 1 17 1
81 12 65 1
82 4 17 1
83 23 28 1
84 4 70 1
85 56 13 1
86 74 57 1
87 65 51 1
88 79 88 1
89 40 5 1
90 22 14 1
91 65 14 1
92 92 49 1
93 54 93 1
94 68 31 1
95 77 41 1
96 69 15 1
97 49 6 1
98 41 53 1
99 51 96 1
100 22 21 1
101 69 66 1
102 20 38 1
103 21 99 1
104 88 34 1
105 98 75 1
106 7 10 1
107 22 95 1
108 93 9 1
109 31 60 1
110 66 12 1
111 78 64 1
112 91 97 1
113 38 59 1
114 100 88 1
115 100 51 1
116 17 38 1
117 24 95 1
118 77 12 1
119 54 12 1
120 19 42 1
121 60 6 1
122 45 13 1
123 51 89 1
124 92 56 1
125 82 56 1
126 44 30 1
127 63 75 1
128 66 36 1
129 89 43 1
130 83 7 1
131 10 40 1
132 61 56 1
133 83 37 1
134 99 15 1
135 91 25 1
136 99 47 1
137 73 42 1
138 63 31 1
139 5 19 1
140 77 23 1
141 75 19 1
142 77 58 1
143 63 91 1
144 32 15 1
145 47 3 1
146 30 22 1
147 24 1 1
148 1 96 1
149 71 72 1
150 36 46 1
151 7 3 1
152 68 5 1
153 73 51 1
154 18 63 1
155 89 25 1
156 30 33 1
157 9 19 1
158 30 62 1
159 8 42 1
160 34 23 1
161 13 98 1
162 9 7 1
163 89 52 1
164 73 84 1
165 53 27 1
166 1 19 1
167 35 60 1
168 39 89 1
169 4 25 1
170 9 1 1
171 62 58 1
172 89 43 1
173 14 6 1
174 88 67 1
175 55 62 1
176 15 14 1
177 85 46 1
178 65 76 1
179 47 76 1
180 73 100 1
181 98 95 1
182 55 13 1
183 60 40 1
184 91 37 1
185 59 76 1
186 95 55 1
187 7 61 1
188 44 4 1
189 9 98 1
190 48 25 1
191 53 78 1
192 27 17 1
193 55 76 1
194 13 91 1
195 72 62 1
196 60 28 1
197 22 2 1
198 60 42 1
199 52 7 1
200 26 67 1
201 76 22 1
202 33 65 1
203 69 49 1
204 53 61 1
205 36 29 1
206 2 6 1
207 84 72 1
208 17 16 1
209 92 50 1
210 59 9 1
211 38 78 1
212 55 59 1
213 65 85 1
214 5 66 1
215 47 63 1
216 23 48 1
217 47 34 1
218 98 73 1
219 7 79 1
220 22 88 1
221 89 71 1
222 76 9 1
223 20 27 1
224 69 48 1
225 92 31 1
226 65 34 1
227 31 21 1
228 1 60 1
229 3 80 1
230 35 11 1
231 99 6 1
232 74 87 1
233 31 35 1
234 58 72 1
235 14 28 1
236 62 49 1
10006 42 15 0
237 26 6 1
238 32 53 1
239 100 40 1
240 62 80 1
241 93 86 1
10058 23 33 0
10038 75 25 0
242 14 19 1
243 37 82 1
244 5 36 1
245 69 21 1
246 48 78 1
10029 96 58 0
247 58 17 1
10042 32 61 0
248 3 5 1
249 25 64 1
250 26 27 1
251 16 80 1
252 40 65 1
253 32 66 1
254 80 47 1
255 68 17 1
256 85 82 1
257 45 5 1
258 28 44 1
259 37 41 1
260 1 96 1
261 69 54 1
262 10 52 1
263 7 10 1
264 54 64 1
265 91 60 1
10082 4 17 0
10055 41 79 0
10043 19 80 0
266 23 86 1
267 71 15 1
268 86 28 1
269 93 86 1
270 45 41 1
271 8 60 1
272 87 63 1
273 73 44 1
274 76 52 1
275 60 92 1
10019 4 75 0
276 80 67 1
277 99 42 1
278 11 52 1
279 3 37 1
280 24 78 1
10079 71 81 0
281 9 4 1
282 51 19 1
10065 20 29 0
283 68 96 1
284 30 81 1
285 95 63 1
286 56 41 1
287 80 43 1
288 88 8 1
289 50 23 1
290 3 7 1
291 51 14 1
292 66 16 1
293 27 32 1
294 3 58 1
295 47 52 1
296 36 44 1
297 67 2 1
298 39 48 1
299 71 49 1
10085 56 13 0
300 28 63 1
10026 28 75 0
10005 29 48 0
301 2 29 1
10139 5 19 0
302 10 23 1
303 100 3 1
304 49 17 1
305 100 84 1
306 27 21 1
307 50 32 1
