Load: 6 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 12 66 1
2 43 51 1
3 85 77 1
4 52 56 1
5 45 20 1
6 19 45 1
7 43 26 1
8 81 26 1
9 53 32 1
10 71 70 1
11 89 27 1
12 62 45 1
13 67 19 1
14 4 83 1
15 71 80 1
16 98 99 1
17 92 67 1
18 63 52 1
19 8 53 1
20 87 15 1
21 41 15 1
22 88 63 1
23 84 15 1
24 71 68 1
25 35 24 1
26 94 44 1
27 52 14 1
28 12 2 1
29 94 13 1
30 100 69 1
31 37 2 1
32 59 11 1
33 57 70 1
34 36 7 1
35 9 88 1
36 83 11 1
37 62 46 1
38 22 66 1
39 82 73 1
40 12 22 1
41 42 60 1
42 97 42 1
43 37 88 1
44 56 42 1
45 100 69 1
46 70 71 1
47 56 98 1
48 18 64 1
49 14 83 1
50 56 90 1
51 35 53 1
52 14 25 1
53 70 97 1
54 4 77 1
55 21 93 1
56 2 93 1
57 62 100 1
58 67 81 1
59 99 34 1
60 73 52 1
61 82 14 1
62 13 82 1
63 17 83 1
64 84 34 1
65 39 83 1
66 66 23 1
67 84 49 1
68 59 23 1
69 42 30 1
70 36 72 1
71 65 37 1
72 85 44 1
73 25 19 1
74 56 64 1
75 34 28 1
76 81 62 1
77 54 70 1
78 43 19 1
79 94 18 1
80 23 71 1
81 22 29 1
82 50 55 1
83 36 68 1
84 5 99 1
85 37 42 1
86 36 62 1
87 71 86 1
88 46 37 1
89 98 62 1
90 50 73 1
91 40 5 1
92 29 54 1
93 56 15 1
94 2 33 1
95 93 44 1
96 2 91 1
97 54 49 1
98 22 70 1
99 37 47 1
100 30 79 1
101 12 8 1
102 21 24 1
103 94 20 1
104 51 39 1
105 23 8 1
106 24 71 1
107 55 11 1
108 29 82 1
109 52 11 1
110 20 45 1
111 11 92 1
112 38 90 1
113 4 77 1
114 80 38 1
115 84 14 1
116 22 97 1
10001 12 66 0
117 24 69 1
118 23 80 1
119 96 99 1
120 12 21 1
121 17 42 1
122 94 74 1
123 5 38 1
124 30 8 1
125 55 21 1
126 83 73 1
10026 94 44 0
127 36 67 1
128 27 74 1
129 1 83 1
130 64 63 1
131 77 38 1
132 32 57 1
133 42 83 1
134 54 99 1
135 95 58 1
136 26 15 1
137 9 56 1
138 46 61 1
139 86 93 1
140 92 99 1
141 67 31 1
142 97 15 1
143 18 85 1
144 25 6 1
145 53 84 1
146 9 37 1
147 15 85 1
148 36 45 1
149 30 96 1
150 75 60 1
151 23 7 1
152 51 4 1
10017 92 67 0
153 9 51 1
154 10 20 1
155 31 22 1
156 51 41 1
157 35 98 1
158 47 54 1
159 20 6 1
160 84 61 1
161 65 60 1
