Load: 7 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 15 9 1
2 33 67 1
3 37 94 1
4 22 33 1
5 6 61 1
6 44 13 1
7 56 77 1
8 93 17 1
9 11 90 1
10 25 60 1
11 30 19 1
12 4 28 1
13 16 17 1
14 81 5 1
15 43 24 1
16 67 28 1
17 2 13 1
18 32 57 1
19 95 50 1
20 96 1 1
21 64 61 1
22 37 67 1
23 51 48 1
24 72 53 1
25 87 2 1
26 40 53 1
27 39 68 1
28 42 99 1
29 34 25 1
30 20 34 1
31 78 93 1
32 38 69 1
33 71 52 1
34 13 4 1
35 52 9 1
36 57 69 1
37 56 60 1
38 19 32 1
39 44 68 1
40 36 70 1
41 39 36 1
42 36 80 1
43 49 88 1
44 17 50 1
45 64 73 1
46 57 13 1
47 2 68 1
48 97 84 1
49 51 4 1
50 87 47 1
51 11 40 1
52 25 24 1
53 40 59 1
54 8 76 1
55 83 30 1
56 93 5 1
57 8 32 1
58 59 57 1
59 39 96 1
60 92 34 1
61 5 15 1
62 25 10 1
63 49 13 1
64 10 4 1
65 69 55 1
66 8 88 1
67 91 31 1
68 7 70 1
69 33 97 1
70 45 84 1
71 16 33 1
72 79 9 1
73 81 77 1
74 1 3 1
75 80 59 1
76 39 32 1
77 11 25 1
78 26 20 1
79 70 46 1
80 64 84 1
81 73 23 1
82 32 74 1
83 38 9 1
84 56 23 1
85 7 5 1
86 16 1 1
87 69 38 1
88 36 22 1
89 93 34 1
90 50 92 1
91 95 65 1
92 62 30 1
93 39 47 1
94 6 64 1
95 30 40 1
96 84 5 1
97 54 73 1
98 32 77 1
99 96 91 1
100 88 71 1
101 26 55 1
102 1 28 1
103 26 32 1
104 28 100 1
105 24 18 1
106 17 98 1
107 97 89 1
108 86 93 1
109 62 42 1
110 58 57 1
111 70 89 1
112 66 68 1
113 76 42 1
114 64 52 1
115 67 74 1
116 93 63 1
117 88 83 1
118 13 38 1
119 23 61 1
120 67 39 1
121 61 44 1
122 93 60 1
123 75 9 1
124 2 80 1
125 96 28 1
126 57 39 1
127 98 1 1
128 72 59 1
129 8 71 1
130 60 30 1
131 47 94 1
132 28 99 1
133 28 31 1
134 6 46 1
135 83 41 1
136 2 29 1
137 4 57 1
138 91 73 1
139 57 68 1
140 96 5 1
141 28 14 1
142 15 30 1
143 28 5 1
144 46 41 1
145 32 55 1
146 80 61 1
147 49 15 1
148 61 85 1
149 97 46 1
150 85 9 1
151 99 83 1
152 45 100 1
153 82 10 1
154 88 11 1
155 93 16 1
156 15 42 1
157 5 48 1
158 92 100 1
159 15 17 1
160 49 27 1
161 26 82 1
162 45 54 1
163 45 99 1
164 81 91 1
165 47 4 1
166 65 60 1
167 19 94 1
168 74 79 1
169 86 32 1
170 49 70 1
171 51 89 1
172 20 87 1
173 84 38 1
174 45 35 1
175 36 71 1
176 100 59 1
177 64 91 1
10040 36 70 0
178 39 23 1
179 90 65 1
10066 8 88 0
180 33 81 1
181 87 86 1
182 87 26 1
183 87 83 1
184 95 3 1
185 90 72 1
186 1 87 1
187 32 3 1
188 58 73 1
189 24 9 1
190 87 53 1
191 89 7 1
192 6 87 1
193 26 72 1
194 23 4 1
195 28 41 1
196 5 10 1
10011 30 19 0
197 28 68 1
198 76 11 1
199 61 23 1
200 85 7 1
201 91 6 1
202 99 59 1
203 18 61 1
10071 16 33 0
10073 81 77 0
204 55 67 1
205 49 78 1
206 36 52 1
207 22 33 1
208 56 47 1
209 96 72 1
210 79 47 1
211 52 35 1
212 66 51 1
213 72 20 1
214 49 95 1
215 74 49 1
216 69 84 1
217 31 87 1
10072 79 9 0
218 34 27 1
219 65 46 1
220 25 17 1
221 76 97 1
222 60 41 1
223 17 57 1
224 84 25 1
225 35 74 1
226 12 48 1
227 23 52 1
228 71 40 1
229 19 81 1
230 40 7 1
231 6 49 1
232 80 19 1
233 44 12 1
234 58 30 1
235 69 46 1
236 34 52 1
237 99 11 1
238 82 18 1
239 36 19 1
240 1 65 1
241 87 82 1
242 84 3 1
243 88 66 1
244 23 75 1
245 89 78 1
246 55 54 1
247 9 75 1
248 82 16 1
249 97 73 1
250 98 28 1
251 64 28 1
252 18 100 1
253 20 54 1
254 59 56 1
255 16 91 1
256 74 37 1
257 15 56 1
258 89 99 1
10111 70 89 0
259 61 71 1
260 55 68 1
261 97 32 1
262 42 26 1
263 43 37 1
264 55 74 1
265 98 35 1
266 81 23 1
10114 64 52 0
267 37 14 1
268 66 7 1
269 28 40 1
270 3 7 1
271 7 90 1
10155 93 16 0
272 68 50 1
273 24 86 1
274 33 60 1
275 8 64 1
276 49 5 1
277 72 46 1
10162 45 54 0
278 40 5 1
10074 1 3 0
279 51 11 1
280 54 93 1
281 46 27 1
282 22 26 1
10060 92 34 0
283 36 39 1
284 74 33 1
285 72 100 1
286 70 67 1
287 16 23 1
10128 72 59 0
288 7 24 1
289 77 63 1
290 70 6 1
291 24 18 1
292 25 24 1
293 79 96 1
294 90 88 1
295 74 97 1
296 62 11 1
297 20 18 1
298 85 46 1
299 74 51 1
300 20 79 1
301 84 74 1
10061 5 15 0
302 21 17 1
10131 47 94 0
303 1 38 1
304 71 78 1
10100 88 71 0
305 4 13 1
306 97 95 1
307 33 49 1
10132 28 99 0
308 71 79 1
309 82 86 1
310 30 6 1
311 61 8 1
312 49 60 1
313 52 41 1
10152 45 100 0
314 69 90 1
315 44 45 1
316 78 94 1
317 82 53 1
318 68 22 1
319 33 70 1
320 22 58 1
10157 5 48 0
10151 99 83 0
321 30 32 1
322 16 25 1
323 88 23 1
324 57 49 1
325 69 82 1
326 11 55 1
10019 95 50 0
327 77 39 1
328 84 42 1
329 81 89 1
330 36 72 1
331 56 95 1
332 7 10 1
333 15 36 1
334 43 24 1
335 96 12 1
336 46 29 1
337 15 75 1
338 82 47 1
339 51 60 1
340 10 57 1
341 17 44 1
10234 58 30 0
342 52 31 1
343 87 22 1
344 75 73 1
345 80 67 1
346 74 92 1
347 47 20 1
348 6 12 1
349 71 59 1
350 93 40 1
351 30 11 1
352 78 33 1
353 76 4 1
354 11 7 1
10053 40 59 0
10175 36 71 0
355 26 50 1
356 43 87 1
357 73 18 1
358 87 35 1
359 71 98 1
360 56 32 1
361 8 1 1
362 33 51 1
363 23 72 1
364 39 58 1
10027 39 68 0
365 79 38 1
10106 17 98 0
366 92 43 1
10145 32 55 0
10148 61 85 0
367 8 50 1
368 55 47 1
369 43 22 1
370 28 61 1
371 58 63 1
372 41 89 1
373 42 5 1
374 1 70 1
375 88 29 1
376 35 96 1
377 28 94 1
10154 88 11 0
10143 28 5 0
10144 46 41 0
378 54 3 1
379 57 100 1
380 44 90 1
381 17 39 1
382 23 84 1
383 24 13 1
384 92 40 1
385 13 44 1
386 63 62 1
387 8 42 1
388 3 28 1
389 22 34 1
390 74 99 1
391 74 17 1
10195 28 41 0
392 49 9 1
393 12 58 1
394 11 26 1
395 96 66 1
396 51 74 1
397 82 1 1
398 76 19 1
399 73 55 1
400 19 98 1
401 74 7 1
402 67 79 1
403 2 87 1
10064 10 4 0
404 17 97 1
405 66 48 1
406 49 97 1
10279 51 11 0
407 31 47 1
408 3 85 1
10088 36 22 0
409 20 14 1
410 57 34 1
10188 58 73 0
411 80 53 1
