Load: 9 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 92 4 1
2 93 20 1
3 27 9 1
4 25 4 1
5 70 82 1
6 93 42 1
7 99 55 1
8 89 41 1
9 30 36 1
10 18 82 1
11 16 13 1
12 10 38 1
13 93 100 1
14 92 83 1
15 54 25 1
16 71 95 1
17 100 34 1
18 35 50 1
19 55 78 1
20 64 79 1
21 19 42 1
22 13 18 1
23 41 24 1
24 35 56 1
25 67 23 1
26 2 50 1
27 3 70 1
28 37 6 1
29 37 23 1
30 30 15 1
31 56 73 1
32 16 35 1
33 18 5 1
34 57 85 1
35 15 7 1
36 41 39 1
37 17 81 1
38 63 36 1
39 1 7 1
40 54 88 1
41 37 19 1
42 48 30 1
43 55 83 1
44 58 11 1
45 98 65 1
46 30 18 1
47 56 25 1
48 21 75 1
49 37 45 1
50 63 85 1
51 31 39 1
52 1 32 1
53 45 69 1
54 51 31 1
55 56 79 1
56 61 46 1
57 99 1 1
58 50 21 1
59 76 64 1
60 62 50 1
61 58 66 1
62 41 98 1
63 96 29 1
64 69 78 1
65 36 70 1
66 38 58 1
67 83 57 1
68 35 72 1
69 71 81 1
70 51 76 1
71 72 47 1
72 47 89 1
73 34 36 1
74 68 44 1
75 53 48 1
76 71 85 1
77 89 54 1
78 51 87 1
79 85 14 1
80 19 60 1
81 14 28 1
82 76 50 1
83 50 40 1
84 95 37 1
85 47 24 1
86 42 25 1
87 93 80 1
88 40 22 1
89 86 58 1
90 48 59 1
91 94 77 1
92 6 33 1
93 36 40 1
94 17 86 1
95 4 43 1
96 86 99 1
97 26 11 1
98 72 74 1
99 50 11 1
100 95 46 1
101 12 43 1
102 94 34 1
103 7 24 1
104 65 45 1
105 60 61 1
106 72 33 1
107 4 80 1
108 73 38 1
109 69 65 1
110 99 50 1
111 64 46 1
112 37 50 1
113 42 49 1
114 92 3 1
115 6 54 1
116 58 49 1
117 78 28 1
118 28 38 1
119 58 19 1
120 100 57 1
121 97 70 1
122 3 94 1
123 85 29 1
124 2 20 1
125 84 19 1
126 75 48 1
127 76 93 1
128 3 24 1
129 21 57 1
130 3 20 1
131 94 25 1
132 78 50 1
133 16 68 1
134 92 94 1
135 1 42 1
136 69 57 1
137 63 74 1
138 48 88 1
139 70 11 1
140 24 4 1
141 58 12 1
142 54 20 1
143 40 84 1
144 42 69 1
145 52 80 1
146 9 64 1
147 1 46 1
148 45 5 1
149 42 97 1
150 8 57 1
151 33 46 1
152 37 47 1
153 38 64 1
154 7 83 1
155 41 24 1
156 26 67 1
