Load: 7 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 49 37 1
2 52 92 1
3 51 69 1
4 98 51 1
5 49 59 1
6 85 46 1
7 41 90 1
8 57 87 1
9 56 26 1
10 35 68 1
11 82 41 1
12 43 5 1
13 79 74 1
14 76 3 1
15 67 78 1
16 35 63 1
17 72 100 1
18 65 90 1
19 34 3 1
20 3 89 1
21 90 96 1
22 42 30 1
23 79 70 1
24 50 64 1
25 79 27 1
26 36 60 1
27 96 35 1
28 44 5 1
29 48 13 1
30 22 83 1
31 100 5 1
32 70 27 1
33 75 36 1
34 28 68 1
35 15 23 1
36 24 36 1
37 92 69 1
38 43 53 1
39 50 47 1
40 26 82 1
41 77 47 1
42 64 37 1
43 58 22 1
44 12 53 1
45 63 11 1
46 40 25 1
47 11 78 1
48 2 61 1
49 58 8 1
50 48 41 1
51 21 54 1
52 73 58 1
53 68 52 1
54 48 7 1
55 38 51 1
56 36 47 1
57 9 20 1
58 89 9 1
59 98 42 1
60 2 49 1
61 81 42 1
62 84 53 1
63 16 19 1
64 10 90 1
65 44 12 1
66 7 24 1
67 59 5 1
68 48 93 1
69 89 66 1
70 21 34 1
71 72 24 1
72 79 16 1
73 46 70 1
74 38 18 1
75 35 43 1
76 29 57 1
77 12 28 1
78 88 81 1
79 23 66 1
80 87 26 1
81 36 74 1
82 55 7 1
83 3 86 1
84 74 99 1
85 7 44 1
86 1 39 1
87 82 5 1
88 84 4 1
89 78 71 1
90 27 56 1
91 34 69 1
92 25 34 1
93 25 73 1
94 83 33 1
95 13 36 1
96 39 28 1
97 31 54 1
98 64 46 1
99 69 85 1
100 1 93 1
101 30 24 1
102 55 71 1
103 42 71 1
104 87 39 1
105 61 60 1
106 90 23 1
107 47 78 1
108 99 46 1
109 76 11 1
110 54 84 1
111 32 71 1
112 43 7 1
113 34 40 1
114 34 62 1
115 77 49 1
116 17 51 1
117 39 3 1
118 2 99 1
119 15 74 1
120 82 98 1
121 90 97 1
122 10 24 1
123 69 79 1
124 58 7 1
125 33 49 1
126 88 25 1
127 29 99 1
128 20 77 1
129 40 60 1
130 69 96 1
131 9 42 1
132 87 37 1
133 24 64 1
134 72 27 1
135 5 96 1
136 4 82 1
137 51 74 1
10010 35 68 0
138 59 91 1
139 50 18 1
140 93 50 1
141 12 66 1
142 89 69 1
143 13 71 1
144 49 7 1
145 28 37 1
146 8 44 1
147 61 59 1
148 77 99 1
149 31 93 1
150 65 34 1
151 35 44 1
152 69 39 1
153 6 15 1
154 20 63 1
155 84 22 1
156 95 53 1
157 68 82 1
158 19 69 1
159 89 22 1
160 46 45 1
161 73 7 1
162 15 56 1
163 3 39 1
164 77 70 1
165 11 60 1
166 100 99 1
167 64 58 1
168 39 59 1
169 52 68 1
170 85 31 1
171 95 8 1
172 59 14 1
173 92 69 1
174 12 77 1
175 36 18 1
176 20 11 1
177 80 20 1
10030 22 83 0
178 66 30 1
179 43 14 1
180 96 78 1
181 34 77 1
182 48 56 1
183 6 62 1
184 11 65 1
185 46 89 1
186 61 89 1
187 87 42 1
10040 26 82 0
188 74 37 1
189 79 75 1
190 19 64 1
191 60 82 1
192 1 53 1
193 60 12 1
194 65 9 1
195 50 37 1
196 1 85 1
197 95 89 1
198 18 40 1
199 53 63 1
10066 7 24 0
200 51 22 1
201 84 49 1
202 36 16 1
203 76 60 1
204 29 16 1
205 24 46 1
206 32 21 1
207 28 39 1
208 5 69 1
209 28 42 1
210 99 35 1
211 82 43 1
212 90 38 1
213 86 10 1
214 18 97 1
215 31 6 1
216 95 17 1
217 26 57 1
218 57 69 1
219 10 83 1
220 39 91 1
221 67 81 1
222 24 20 1
223 88 60 1
224 54 18 1
225 72 10 1
226 48 12 1
227 42 9 1
228 63 19 1
229 47 52 1
230 34 62 1
231 67 9 1
232 33 3 1
233 97 17 1
234 33 35 1
235 2 41 1
236 3 78 1
237 17 58 1
238 89 53 1
239 10 26 1
240 78 30 1
241 15 13 1
242 40 78 1
243 60 80 1
244 88 50 1
245 90 74 1
246 68 24 1
247 40 81 1
248 44 68 1
249 12 75 1
250 80 41 1
251 4 73 1
252 65 59 1
253 92 45 1
254 48 22 1
255 11 34 1
256 88 15 1
257 72 83 1
10093 25 73 0
258 56 6 1
259 2 7 1
260 35 97 1
261 52 75 1
262 27 2 1
10038 43 53 0
263 2 65 1
264 86 42 1
265 18 11 1
266 45 10 1
267 56 24 1
268 96 15 1
269 38 72 1
270 37 100 1
271 52 1 1
272 44 52 1
273 16 15 1
274 85 92 1
275 18 71 1
276 13 21 1
277 17 63 1
278 85 43 1
279 42 62 1
280 59 36 1
281 84 78 1
282 23 28 1
10097 31 54 0
283 55 27 1
10106 90 23 0
284 7 51 1
285 57 80 1
10112 43 7 0
286 43 79 1
287 41 32 1
288 18 89 1
289 74 6 1
290 44 58 1
291 60 90 1
292 68 44 1
293 18 51 1
294 41 38 1
295 16 93 1
10084 74 99 0
296 7 99 1
297 99 75 1
298 29 38 1
299 62 6 1
300 66 100 1
301 49 76 1
302 60 51 1
303 82 74 1
10019 34 3 0
304 80 65 1
10049 58 8 0
305 12 9 1
306 1 86 1
307 78 38 1
308 53 52 1
309 38 83 1
310 71 77 1
311 69 43 1
312 27 20 1
313 78 68 1
314 29 27 1
315 46 15 1
316 92 12 1
317 81 9 1
318 34 78 1
319 71 82 1
320 100 18 1
321 1 17 1
322 69 7 1
323 56 69 1
324 74 39 1
325 24 4 1
326 16 100 1
327 24 27 1
328 49 21 1
329 74 68 1
330 49 36 1
10064 10 90 0
331 23 25 1
332 78 15 1
333 100 10 1
334 14 88 1
335 41 69 1
10170 85 31 0
10077 12 28 0
336 5 57 1
10156 95 53 0
10022 42 30 0
337 60 58 1
338 64 3 1
339 64 8 1
340 74 95 1
341 45 30 1
342 52 81 1
10128 20 77 0
343 65 67 1
10227 42 9 0
344 92 97 1
345 42 6 1
346 95 94 1
347 58 61 1
10122 10 24 0
348 46 36 1
349 80 71 1
350 48 15 1
351 54 95 1
352 14 39 1
353 60 84 1
354 66 88 1
10140 93 50 0
355 4 71 1
356 73 67 1
357 25 96 1
10053 68 52 0
358 90 86 1
359 94 56 1
360 48 63 1
361 21 32 1
362 15 14 1
363 44 78 1
364 8 5 1
365 100 27 1
366 97 83 1
367 45 61 1
368 34 90 1
369 53 65 1
10205 24 46 0
370 81 87 1
371 19 52 1
372 23 58 1
373 58 83 1
374 70 92 1
375 49 24 1
10105 61 60 0
376 87 91 1
10024 50 64 0
377 96 13 1
378 58 12 1
379 45 64 1
380 74 3 1
381 68 91 1
382 62 91 1
383 93 19 1
384 25 15 1
385 89 61 1
386 68 14 1
10194 65 9 0
10116 17 51 0
387 42 36 1
388 17 88 1
389 29 63 1
390 14 86 1
391 8 48 1
392 75 16 1
10225 72 10 0
393 55 73 1
10069 89 66 0
394 80 10 1
395 87 58 1
396 97 46 1
397 56 10 1
398 15 1 1
399 95 68 1
400 33 98 1
401 18 8 1
402 52 78 1
10217 26 57 0
10213 86 10 0
403 38 89 1
404 42 26 1
405 47 70 1
406 19 64 1
407 80 60 1
408 23 41 1
409 4 42 1
410 84 58 1
411 54 40 1
412 27 77 1
413 14 48 1
414 56 6 1
415 45 3 1
416 84 25 1
417 41 93 1
418 61 76 1
419 91 43 1
420 37 19 1
421 21 88 1
422 20 47 1
10292 68 44 0
423 59 79 1
424 23 4 1
425 2 95 1
10065 44 12 0
426 19 55 1
427 24 11 1
428 100 51 1
429 44 49 1
430 88 28 1
431 54 58 1
432 96 44 1
433 53 59 1
434 89 63 1
435 86 98 1
436 73 2 1
437 4 72 1
10260 35 97 0
438 34 73 1
10179 43 14 0
439 37 6 1
440 55 38 1
441 9 76 1
442 66 68 1
443 88 7 1
444 11 67 1
10324 74 39 0
10279 42 62 0
10269 38 72 0
10009 56 26 0
445 75 53 1
446 15 40 1
447 39 63 1
448 28 55 1
449 98 26 1
10236 3 78 0
450 51 19 1
10330 49 36 0
10092 25 34 0
451 50 78 1
10351 54 95 0
452 35 83 1
453 27 7 1
454 26 88 1
455 92 30 1
456 55 52 1
457 14 59 1
458 19 61 1
459 2 29 1
460 46 45 1
461 7 43 1
462 73 66 1
463 4 47 1
464 34 71 1
465 7 53 1
10070 21 34 0
10045 63 11 0
466 86 98 1
467 7 18 1
10189 79 75 0
10196 1 85 0
468 100 50 1
469 55 13 1
470 14 54 1
471 31 14 1
472 39 65 1
473 47 73 1
474 63 81 1
475 79 83 1
10174 12 77 0
476 33 72 1
477 57 43 1
478 11 64 1
479 55 80 1
480 87 37 1
481 49 98 1
10160 46 45 0
10277 17 63 0
482 53 73 1
10386 68 14 0
483 35 100 1
484 64 59 1
485 6 8 1
486 28 70 1
487 23 21 1
10364 8 5 0
488 100 22 1
489 21 13 1
10011 82 41 0
490 97 90 1
491 64 68 1
492 57 9 1
493 41 59 1
494 9 74 1
495 9 85 1
496 7 95 1
497 28 57 1
498 17 35 1
499 39 90 1
500 33 86 1
501 76 30 1
502 15 48 1
503 95 15 1
504 65 69 1
505 72 36 1
506 15 90 1
