Load: 6 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 40 93 1
2 19 93 1
3 44 32 1
4 64 62 1
5 85 59 1
6 4 60 1
7 16 14 1
8 4 44 1
9 85 100 1
10 98 22 1
11 94 35 1
12 61 44 1
13 80 32 1
14 48 76 1
15 78 85 1
16 96 65 1
17 41 63 1
18 13 10 1
19 34 89 1
20 63 17 1
21 45 56 1
22 76 37 1
23 8 80 1
24 83 17 1
25 52 81 1
26 70 59 1
27 100 76 1
28 32 48 1
29 65 79 1
30 13 66 1
31 10 32 1
32 33 31 1
33 92 50 1
34 16 57 1
35 5 41 1
36 84 58 1
37 81 5 1
38 81 91 1
39 36 30 1
40 63 34 1
41 31 53 1
42 68 73 1
43 100 92 1
44 33 78 1
45 2 89 1
46 81 98 1
47 4 95 1
48 86 45 1
49 44 48 1
50 74 61 1
51 65 34 1
52 45 42 1
53 98 35 1
54 40 62 1
55 10 28 1
56 36 86 1
57 69 22 1
58 21 65 1
59 27 8 1
60 7 13 1
61 36 67 1
62 16 3 1
63 74 44 1
64 94 79 1
65 90 88 1
66 11 39 1
67 66 79 1
68 7 35 1
69 25 51 1
70 63 34 1
71 69 43 1
72 34 96 1
73 16 9 1
74 14 15 1
75 91 33 1
76 71 91 1
77 86 63 1
78 85 83 1
79 11 39 1
80 98 26 1
81 27 73 1
82 87 99 1
83 58 29 1
84 30 58 1
85 32 1 1
86 84 36 1
87 94 90 1
88 63 13 1
89 24 72 1
90 84 4 1
91 36 87 1
92 2 84 1
93 5 7 1
94 48 91 1
95 65 84 1
96 69 73 1
97 58 13 1
98 61 78 1
99 69 1 1
100 37 11 1
101 36 80 1
102 13 82 1
103 92 86 1
104 29 40 1
105 74 15 1
106 67 40 1
107 81 63 1
108 27 25 1
109 66 91 1
110 1 85 1
111 45 13 1
112 26 48 1
10013 80 32 0
113 93 32 1
114 50 89 1
115 55 32 1
116 45 80 1
117 94 3 1
118 92 60 1
119 54 51 1
120 3 94 1
121 32 78 1
122 95 58 1
123 38 54 1
124 46 70 1
125 53 71 1
126 6 22 1
127 84 18 1
128 64 63 1
10018 13 10 0
129 29 43 1
130 71 78 1
131 58 75 1
132 42 76 1
133 8 55 1
134 56 58 1
135 78 42 1
136 67 46 1
137 96 41 1
138 11 29 1
139 82 54 1
140 16 84 1
141 82 56 1
142 19 27 1
143 10 75 1
144 2 72 1
145 60 26 1
146 13 95 1
147 75 42 1
148 18 53 1
149 63 40 1
150 77 76 1
151 5 66 1
152 9 99 1
10044 33 78 0
153 72 37 1
154 98 34 1
155 84 92 1
156 51 49 1
157 18 15 1
158 68 97 1
159 8 30 1
160 51 31 1
161 3 11 1
162 26 43 1
163 57 67 1
164 14 40 1
165 65 77 1
166 83 75 1
167 97 96 1
168 35 48 1
169 89 37 1
10057 69 22 0
170 89 50 1
171 56 40 1
172 77 75 1
173 60 55 1
174 11 97 1
175 37 1 1
176 91 69 1
177 3 37 1
178 86 47 1
179 75 30 1
180 47 4 1
181 98 83 1
182 25 48 1
183 42 26 1
184 8 58 1
185 33 15 1
186 100 38 1
187 36 85 1
188 5 49 1
189 88 90 1
190 71 95 1
191 31 46 1
192 68 67 1
193 10 75 1
194 7 32 1
195 24 82 1
10046 81 98 0
196 8 57 1
197 56 27 1
198 6 37 1
199 37 86 1
200 20 94 1
201 79 21 1
202 55 19 1
203 85 37 1
204 99 87 1
205 28 79 1
206 29 31 1
207 80 21 1
208 13 27 1
209 27 83 1
10108 27 25 0
210 19 98 1
211 35 100 1
212 80 72 1
213 48 96 1
214 100 99 1
10017 41 63 0
215 17 38 1
216 94 35 1
217 90 99 1
218 45 40 1
219 14 57 1
220 24 97 1
221 35 46 1
222 30 39 1
10001 40 93 0
223 44 11 1
224 15 100 1
225 88 44 1
226 62 95 1
227 70 19 1
228 56 2 1
229 31 43 1
230 20 66 1
231 44 39 1
232 99 1 1
233 97 82 1
10038 81 91 0
234 57 86 1
235 30 26 1
236 37 11 1
237 32 36 1
238 44 56 1
239 3 49 1
240 90 2 1
10099 69 1 0
241 60 91 1
242 34 84 1
243 61 97 1
244 22 61 1
245 91 80 1
10112 26 48 0
246 99 47 1
10134 56 58 0
247 98 36 1
248 67 76 1
249 19 65 1
10103 92 86 0
250 80 84 1
10075 91 33 0
251 83 70 1
252 18 7 1
253 7 48 1
10160 51 31 0
254 25 96 1
255 6 71 1
256 23 77 1
257 12 5 1
258 89 13 1
259 9 33 1
260 68 63 1
261 26 31 1
262 58 18 1
263 28 33 1
264 39 91 1
265 86 42 1
266 41 27 1
267 2 96 1
268 41 74 1
269 28 95 1
270 96 39 1
271 13 16 1
272 67 69 1
273 35 4 1
274 93 2 1
275 19 62 1
276 27 40 1
277 56 40 1
278 74 30 1
279 29 39 1
280 13 24 1
10092 2 84 0
281 47 83 1
282 78 16 1
283 8 66 1
284 52 70 1
285 86 90 1
286 74 70 1
287 99 21 1
288 9 68 1
289 46 33 1
290 24 40 1
291 95 83 1
292 44 5 1
293 31 39 1
294 38 11 1
295 24 48 1
296 56 21 1
297 75 72 1
298 73 82 1
299 15 65 1
10132 42 76 0
300 76 91 1
301 71 72 1
302 15 68 1
303 99 54 1
304 3 48 1
305 71 32 1
306 21 23 1
307 49 54 1
10022 76 37 0
308 33 88 1
309 45 85 1
310 49 81 1
311 37 69 1
312 23 54 1
313 20 19 1
10025 52 81 0
10209 27 83 0
314 42 89 1
315 19 77 1
316 98 56 1
317 60 83 1
318 33 68 1
319 95 45 1
10228 56 2 0
320 29 3 1
10195 24 82 0
321 94 69 1
322 58 18 1
323 42 7 1
324 1 59 1
325 14 32 1
326 74 52 1
10079 11 39 0
10146 13 95 0
327 98 26 1
328 84 99 1
329 91 2 1
330 54 26 1
331 5 73 1
332 56 41 1
10224 15 100 0
333 33 72 1
10123 38 54 0
10008 4 44 0
334 30 76 1
335 8 11 1
336 15 11 1
337 47 50 1
338 53 100 1
339 58 8 1
340 13 3 1
341 73 59 1
342 1 83 1
343 83 58 1
344 41 68 1
10037 81 5 0
345 77 78 1
346 38 97 1
10059 27 8 0
347 12 46 1
348 33 24 1
10185 33 15 0
349 21 91 1
350 20 44 1
351 55 48 1
352 66 1 1
353 54 74 1
354 17 72 1
10148 18 53 0
355 37 54 1
356 35 95 1
357 32 98 1
358 66 91 1
359 77 99 1
360 88 99 1
361 25 35 1
362 67 38 1
363 74 15 1
10102 13 82 0
364 54 88 1
10050 74 61 0
365 29 98 1
366 42 89 1
367 35 48 1
368 53 77 1
369 31 87 1
370 50 96 1
371 61 96 1
372 61 26 1
373 24 5 1
374 48 41 1
375 53 60 1
376 81 70 1
10186 100 38 0
377 36 58 1
378 49 45 1
379 85 79 1
380 24 21 1
10165 65 77 0
381 32 35 1
382 19 70 1
10196 8 57 0
383 74 59 1
384 32 65 1
10026 70 59 0
385 32 78 1
386 1 11 1
10084 30 58 0
387 28 24 1
388 41 83 1
389 34 37 1
390 48 33 1
391 15 63 1
392 77 67 1
393 6 21 1
394 87 31 1
10302 15 68 0
395 68 28 1
10212 80 72 0
396 49 36 1
10033 92 50 0
397 51 80 1
398 73 47 1
399 94 64 1
400 56 8 1
401 44 52 1
10266 41 27 0
402 46 19 1
10055 10 28 0
403 28 24 1
404 79 78 1
405 61 38 1
406 77 45 1
407 98 73 1
408 53 26 1
409 76 98 1
410 86 68 1
411 55 35 1
412 77 99 1
413 18 51 1
414 34 70 1
10049 44 48 0
415 46 60 1
416 19 67 1
417 9 71 1
10080 98 26 0
418 60 62 1
419 96 81 1
420 51 19 1
421 82 17 1
422 64 18 1
423 99 13 1
424 56 54 1
425 95 97 1
426 66 94 1
427 37 4 1
428 97 16 1
429 92 62 1
10171 56 40 0
430 68 56 1
431 7 55 1
432 51 43 1
10020 63 17 0
433 1 19 1
434 58 34 1
435 4 63 1
436 30 32 1
437 28 4 1
438 77 32 1
10176 91 69 0
439 70 98 1
440 50 64 1
441 9 40 1
442 95 4 1
443 77 55 1
444 17 14 1
445 67 52 1
446 11 38 1
447 25 58 1
448 95 91 1
449 36 75 1
450 20 53 1
10180 47 4 0
451 77 42 1
452 59 62 1
453 42 76 1
10231 44 39 0
454 99 42 1
455 54 26 1
456 52 43 1
457 24 5 1
458 21 26 1
459 41 2 1
10357 32 98 0
460 59 65 1
461 57 6 1
10221 35 46 0
462 78 8 1
463 55 41 1
10233 97 82 0
464 31 70 1
465 84 44 1
10370 50 96 0
466 46 16 1
467 73 71 1
468 92 100 1
10166 83 75 0
469 57 74 1
10198 6 37 0
470 58 34 1
471 78 27 1
472 66 91 1
473 5 81 1
10307 49 54 0
474 85 56 1
475 70 63 1
476 7 59 1
477 47 42 1
478 21 77 1
479 52 23 1
480 7 69 1
10213 48 96 0
10140 16 84 0
481 46 65 1
10253 7 48 0
482 96 90 1
483 12 95 1
10019 34 89 0
484 95 39 1
485 58 74 1
10341 73 59 0
486 64 33 1
487 2 90 1
488 61 65 1
10126 6 22 0
489 61 97 1
490 98 4 1
10201 79 21 0
491 28 50 1
