Load: 4 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 68 56 1
2 35 51 1
3 32 67 1
4 46 21 1
5 41 9 1
6 49 29 1
7 3 83 1
8 64 78 1
9 20 86 1
10 21 60 1
11 53 65 1
12 16 58 1
13 51 82 1
14 1 87 1
15 100 83 1
16 7 88 1
17 29 68 1
18 41 98 1
19 45 66 1
20 14 57 1
21 98 14 1
22 64 60 1
23 77 27 1
24 90 20 1
25 62 96 1
26 26 12 1
27 17 9 1
28 53 46 1
29 81 5 1
30 84 5 1
31 10 56 1
32 8 62 1
33 7 6 1
34 9 22 1
35 6 8 1
36 59 2 1
37 33 45 1
38 62 72 1
39 85 12 1
40 41 77 1
41 27 13 1
42 25 100 1
43 39 22 1
44 48 91 1
45 9 56 1
46 35 28 1
47 87 79 1
48 85 78 1
49 9 46 1
50 59 83 1
51 22 67 1
52 90 86 1
53 52 31 1
54 34 94 1
55 4 12 1
56 50 91 1
57 30 84 1
58 71 95 1
59 8 71 1
60 63 87 1
61 32 71 1
62 73 74 1
63 17 31 1
64 95 66 1
65 32 49 1
66 60 12 1
67 7 55 1
68 40 22 1
69 77 7 1
70 37 33 1
71 85 18 1
72 35 93 1
73 27 32 1
74 26 94 1
75 27 98 1
76 36 77 1
77 93 80 1
78 64 71 1
79 86 11 1
80 70 88 1
81 72 57 1
82 52 57 1
83 73 95 1
84 31 97 1
85 32 16 1
86 22 68 1
87 96 61 1
88 36 7 1
89 78 48 1
90 72 51 1
91 70 90 1
10004 46 21 0
92 22 84 1
93 63 34 1
94 74 69 1
95 86 18 1
96 32 82 1
97 35 17 1
98 57 36 1
99 99 31 1
100 98 37 1
101 50 81 1
10038 62 72 0
102 32 100 1
103 61 49 1
104 33 99 1
105 80 61 1
106 49 86 1
107 58 82 1
108 43 86 1
109 94 99 1
10003 32 67 0
110 35 12 1
111 46 52 1
112 99 56 1
113 85 84 1
114 31 40 1
115 36 48 1
116 69 96 1
117 67 99 1
118 72 55 1
119 16 22 1
10040 41 77 0
120 39 98 1
121 92 23 1
122 79 42 1
123 85 21 1
124 26 27 1
125 14 13 1
126 8 62 1
127 81 79 1
128 79 14 1
129 96 21 1
130 87 82 1
131 45 33 1
132 79 66 1
133 33 41 1
134 1 6 1
135 34 30 1
136 22 25 1
137 38 57 1
138 54 49 1
139 42 93 1
140 61 78 1
141 74 25 1
142 27 91 1
143 16 63 1
144 54 14 1
145 21 15 1
146 59 77 1
147 19 21 1
148 39 2 1
149 24 90 1
150 81 7 1
151 26 78 1
152 49 41 1
153 3 38 1
154 94 80 1
155 41 33 1
156 13 50 1
157 68 54 1
158 58 94 1
159 74 75 1
10001 68 56 0
10072 35 93 0
160 49 44 1
161 98 50 1
162 100 26 1
10071 85 18 0
163 95 62 1
164 26 10 1
165 81 64 1
166 74 83 1
167 12 5 1
168 75 31 1
169 21 30 1
170 15 93 1
171 71 37 1
10046 35 28 0
172 9 53 1
173 38 22 1
174 57 81 1
175 70 57 1
176 99 34 1
10081 72 57 0
177 58 70 1
10054 34 94 0
178 40 13 1
179 98 39 1
180 37 69 1
181 35 68 1
182 54 95 1
