Load: 7 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 79 56 1
2 30 20 1
3 8 23 1
4 80 18 1
5 48 75 1
6 31 24 1
7 99 51 1
8 42 72 1
9 53 46 1
10 39 23 1
11 90 99 1
12 12 1 1
13 91 42 1
14 23 16 1
15 46 34 1
16 60 5 1
17 75 55 1
18 23 76 1
19 12 18 1
20 44 28 1
21 1 28 1
22 54 9 1
23 71 97 1
24 39 7 1
25 54 26 1
26 47 48 1
27 4 61 1
28 70 44 1
29 65 97 1
30 21 33 1
31 8 32 1
32 59 56 1
33 51 94 1
34 51 29 1
35 62 59 1
36 9 77 1
37 43 97 1
38 70 47 1
39 39 98 1
40 89 43 1
41 75 54 1
42 21 39 1
43 49 46 1
44 85 45 1
45 6 7 1
46 61 81 1
47 67 21 1
48 30 31 1
49 59 8 1
50 39 66 1
51 46 50 1
52 79 44 1
53 14 49 1
54 66 8 1
55 65 63 1
56 90 10 1
57 49 17 1
58 64 22 1
59 89 34 1
60 66 38 1
61 100 52 1
62 20 33 1
63 11 57 1
64 97 48 1
65 49 3 1
66 18 74 1
67 79 39 1
68 33 97 1
69 88 62 1
70 46 98 1
71 25 79 1
72 99 15 1
73 37 60 1
74 8 67 1
75 65 20 1
76 3 8 1
77 91 74 1
78 88 95 1
79 83 20 1
80 50 28 1
81 77 32 1
82 40 33 1
83 69 29 1
84 97 100 1
85 37 84 1
86 54 40 1
87 71 88 1
88 88 66 1
89 52 30 1
90 10 81 1
91 55 31 1
92 3 61 1
93 48 22 1
94 70 30 1
95 40 67 1
96 64 68 1
97 13 35 1
98 53 30 1
99 55 21 1
100 26 66 1
101 67 30 1
102 21 56 1
103 26 30 1
104 44 85 1
105 93 92 1
106 79 80 1
107 65 32 1
108 10 22 1
109 77 33 1
110 19 21 1
111 81 25 1
112 40 67 1
113 92 5 1
114 7 79 1
115 67 55 1
116 68 24 1
117 65 32 1
118 15 46 1
119 70 34 1
120 18 44 1
121 64 92 1
122 74 18 1
123 59 66 1
124 67 68 1
125 4 41 1
126 24 19 1
127 7 69 1
128 78 32 1
129 31 49 1
130 49 66 1
131 53 78 1
132 61 35 1
133 70 88 1
134 85 12 1
135 42 26 1
136 27 97 1
137 38 44 1
138 52 31 1
139 24 31 1
140 42 20 1
141 44 65 1
142 3 79 1
143 42 38 1
144 41 18 1
145 49 19 1
146 60 84 1
147 51 62 1
148 80 86 1
149 86 51 1
150 100 44 1
151 42 85 1
152 53 2 1
153 45 76 1
154 89 51 1
155 33 25 1
156 9 12 1
157 26 40 1
158 83 23 1
159 14 25 1
160 41 19 1
161 5 3 1
10042 21 39 0
162 71 63 1
163 2 56 1
164 80 74 1
165 88 30 1
166 56 76 1
167 29 43 1
168 18 80 1
169 96 63 1
170 70 3 1
171 10 97 1
172 46 72 1
173 60 21 1
174 22 29 1
175 21 49 1
176 63 77 1
177 80 52 1
178 72 37 1
179 25 18 1
180 39 47 1
10063 11 57 0
181 70 8 1
182 93 59 1
183 90 54 1
184 23 43 1
185 86 71 1
186 89 38 1
187 28 39 1
188 55 80 1
189 82 23 1
190 29 97 1
191 1 38 1
192 11 76 1
193 75 32 1
194 38 33 1
195 32 71 1
196 6 95 1
197 56 33 1
198 95 92 1
199 51 82 1
200 99 25 1
10082 40 33 0
201 59 51 1
10036 9 77 0
202 80 16 1
203 6 92 1
204 19 67 1
10069 88 62 0
205 4 76 1
206 46 88 1
207 4 16 1
208 42 74 1
209 42 77 1
210 97 72 1
211 80 51 1
212 98 61 1
213 75 40 1
214 8 50 1
215 22 82 1
10053 14 49 0
216 37 94 1
217 17 92 1
218 26 17 1
219 83 8 1
220 47 32 1
221 50 37 1
222 15 58 1
223 58 62 1
224 68 26 1
225 28 66 1
10134 85 12 0
226 72 86 1
227 33 2 1
228 30 9 1
229 79 61 1
230 78 54 1
231 49 39 1
10127 7 69 0
232 66 70 1
233 68 31 1
234 25 78 1
235 58 74 1
236 10 95 1
237 74 31 1
238 23 30 1
239 70 73 1
10049 59 8 0
240 69 63 1
241 52 81 1
242 71 58 1
10038 70 47 0
10019 12 18 0
243 38 35 1
244 83 95 1
245 69 92 1
246 87 61 1
247 49 46 1
248 60 34 1
249 50 15 1
250 70 65 1
251 1 73 1
252 76 28 1
253 6 77 1
254 49 36 1
255 23 14 1
256 70 94 1
257 50 35 1
10087 71 88 0
258 51 54 1
259 81 58 1
260 17 27 1
261 79 14 1
262 96 69 1
263 73 20 1
264 89 71 1
265 28 41 1
10020 44 28 0
266 28 70 1
267 96 18 1
268 15 1 1
10096 64 68 0
269 38 77 1
270 25 98 1
10171 10 97 0
271 10 1 1
272 22 17 1
273 70 17 1
274 69 45 1
275 63 68 1
10028 70 44 0
276 59 69 1
277 16 6 1
10150 100 44 0
278 5 83 1
10128 78 32 0
279 64 4 1
280 9 29 1
10043 49 46 0
281 14 1 1
282 56 29 1
283 45 94 1
284 92 37 1
10055 65 63 0
285 50 78 1
286 50 60 1
10051 46 50 0
287 69 5 1
288 48 49 1
289 78 6 1
290 58 94 1
291 99 52 1
292 47 54 1
293 74 67 1
294 36 4 1
295 89 53 1
296 55 77 1
297 96 91 1
298 77 23 1
10111 81 25 0
299 99 3 1
10169 96 63 0
300 88 56 1
301 92 41 1
302 81 86 1
303 4 97 1
304 91 62 1
305 92 11 1
306 3 43 1
307 15 13 1
308 27 11 1
10204 19 67 0
309 43 48 1
310 7 99 1
10106 79 80 0
311 37 39 1
312 26 36 1
313 81 85 1
314 85 24 1
315 23 7 1
316 98 46 1
317 77 3 1
318 68 59 1
319 74 31 1
320 25 45 1
321 49 75 1
322 9 26 1
10040 89 43 0
323 58 54 1
10185 86 71 0
324 25 72 1
10165 88 30 0
325 16 82 1
10117 65 32 0
326 10 18 1
10120 18 44 0
327 69 65 1
328 85 24 1
329 13 30 1
330 89 21 1
331 53 42 1
332 85 16 1
333 38 91 1
334 38 16 1
335 48 51 1
336 85 70 1
337 59 30 1
10174 22 29 0
338 45 48 1
339 52 23 1
340 95 63 1
341 1 11 1
10225 28 66 0
342 20 100 1
343 57 97 1
344 17 79 1
345 25 31 1
10184 23 43 0
346 45 74 1
347 77 97 1
348 61 45 1
349 57 95 1
350 24 39 1
351 80 98 1
352 57 28 1
353 44 87 1
354 70 32 1
355 50 29 1
10118 15 46 0
356 45 100 1
357 56 2 1
10230 78 54 0
358 3 90 1
359 58 75 1
360 62 6 1
361 62 78 1
362 63 92 1
363 47 10 1
364 87 28 1
365 66 14 1
10044 85 45 0
366 7 76 1
367 56 66 1
368 58 66 1
369 16 68 1
370 63 57 1
371 71 99 1
10163 2 56 0
372 59 16 1
