Load: 4 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 11 93 1
2 69 27 1
3 50 59 1
4 47 43 1
5 84 20 1
6 85 61 1
7 19 68 1
8 16 35 1
9 38 79 1
10 3 51 1
11 95 46 1
12 39 91 1
13 69 21 1
14 46 96 1
15 68 72 1
16 91 2 1
17 29 27 1
18 83 43 1
19 27 95 1
20 100 91 1
21 13 23 1
22 67 62 1
23 24 31 1
24 85 62 1
25 58 42 1
26 78 44 1
27 79 67 1
28 89 17 1
29 59 71 1
30 60 15 1
31 64 1 1
32 21 43 1
33 80 46 1
34 37 77 1
35 90 35 1
36 77 12 1
37 93 90 1
38 85 86 1
39 52 18 1
40 48 91 1
41 21 50 1
42 19 66 1
43 37 62 1
44 28 36 1
45 96 53 1
46 79 81 1
47 58 29 1
48 73 98 1
49 59 34 1
50 69 57 1
51 75 8 1
52 45 3 1
53 59 70 1
54 39 27 1
55 1 97 1
56 47 5 1
57 90 19 1
58 43 95 1
59 95 35 1
60 97 73 1
61 27 56 1
62 35 6 1
63 3 75 1
64 94 45 1
65 90 14 1
66 83 22 1
67 57 82 1
68 87 97 1
69 41 48 1
70 58 38 1
71 41 75 1
72 32 36 1
73 56 15 1
74 52 41 1
75 43 100 1
76 99 2 1
77 66 43 1
78 39 9 1
79 33 85 1
80 5 74 1
81 59 98 1
82 76 86 1
83 54 88 1
84 6 58 1
85 52 96 1
86 67 93 1
87 67 86 1
88 50 45 1
89 24 17 1
90 89 52 1
91 88 97 1
92 50 79 1
93 6 26 1
94 100 5 1
95 42 59 1
96 67 5 1
97 38 49 1
98 74 54 1
99 8 66 1
100 75 25 1
101 100 64 1
102 44 24 1
103 69 94 1
104 83 84 1
105 19 30 1
106 67 58 1
107 34 99 1
108 83 26 1
109 55 50 1
110 31 41 1
111 84 96 1
112 91 67 1
113 6 53 1
114 11 98 1
115 11 85 1
116 3 55 1
117 18 16 1
118 32 88 1
119 60 72 1
120 46 79 1
121 87 25 1
122 26 11 1
123 10 59 1
124 16 53 1
125 27 40 1
126 30 58 1
127 11 48 1
128 45 23 1
129 81 12 1
130 69 5 1
131 14 95 1
132 22 73 1
133 33 89 1
134 84 77 1
135 87 59 1
136 20 64 1
10064 94 45 0
137 96 77 1
138 81 69 1
139 2 60 1
140 67 56 1
141 37 64 1
142 30 55 1
143 74 86 1
144 65 56 1
145 100 3 1
146 32 98 1
147 28 49 1
10052 45 3 0
148 31 84 1
149 78 36 1
150 85 31 1
151 45 26 1
152 19 14 1
153 54 43 1
154 31 83 1
155 8 2 1
156 68 64 1
157 81 72 1
158 31 54 1
159 11 36 1
160 62 7 1
161 72 87 1
162 39 15 1
163 20 46 1
164 92 37 1
165 49 4 1
166 94 24 1
167 82 67 1
168 24 15 1
169 9 5 1
170 72 60 1
171 62 26 1
10091 88 97 0
172 57 43 1
173 26 60 1
174 98 68 1
10026 78 44 0
175 26 85 1
176 42 34 1
177 70 17 1
178 95 80 1
179 78 91 1
10060 97 73 0
