Load: 2 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 39 36 1
2 22 76 1
3 49 2 1
4 45 87 1
5 87 41 1
6 75 72 1
7 70 51 1
8 82 69 1
9 33 30 1
10 40 11 1
11 76 72 1
12 33 49 1
13 93 39 1
14 84 81 1
15 50 5 1
16 24 52 1
17 10 65 1
18 1 6 1
19 34 8 1
20 65 35 1
21 35 45 1
22 67 94 1
23 41 66 1
24 96 51 1
25 76 22 1
26 31 98 1
27 39 98 1
28 41 38 1
29 20 9 1
30 28 62 1
31 26 33 1
32 63 78 1
33 82 28 1
34 25 86 1
35 81 59 1
36 84 45 1
37 1 56 1
38 25 36 1
39 53 27 1
40 63 88 1
41 18 33 1
42 92 52 1
10001 39 36 0
43 5 89 1
44 32 58 1
45 99 50 1
46 53 14 1
47 58 8 1
48 53 95 1
49 57 2 1
50 58 66 1
51 31 7 1
52 53 23 1
53 20 89 1
54 92 61 1
55 3 44 1
56 63 89 1
57 78 41 1
58 68 25 1
59 8 55 1
10004 45 87 0
60 2 75 1
61 56 78 1
62 20 60 1
63 81 6 1
64 86 4 1
65 63 97 1
66 48 6 1
67 13 56 1
68 48 85 1
69 90 78 1
70 24 18 1
71 93 32 1
10002 22 76 0
72 30 3 1
73 76 25 1
74 99 35 1
75 22 79 1
76 36 37 1
77 30 77 1
78 11 92 1
10008 82 69 0
79 22 84 1
10027 39 98 0
80 6 97 1
81 36 11 1
82 3 68 1
83 73 84 1
84 70 69 1
10047 58 8 0
85 29 48 1
86 11 61 1
87 78 13 1
88 95 31 1
89 46 17 1
90 4 61 1
91 44 70 1
92 75 16 1
93 74 24 1
94 15 17 1
95 68 9 1
96 82 47 1
97 26 28 1
98 29 93 1
99 37 26 1
100 37 53 1
10032 63 78 0
10020 65 35 0
101 55 79 1
102 38 43 1
103 93 42 1
104 6 21 1
105 17 63 1
106 71 21 1
107 25 91 1
108 34 33 1
109 46 75 1
10051 31 7 0
110 7 32 1
111 78 57 1
112 3 30 1
113 27 2 1
114 15 66 1
115 82 66 1
116 9 40 1
117 63 23 1
118 39 1 1
119 18 100 1
120 90 53 1
10056 63 89 0
121 96 87 1
122 64 12 1
123 60 37 1
124 12 62 1
125 55 54 1
10040 63 88 0
126 68 75 1
127 68 88 1
10029 20 9 0
128 72 17 1
129 89 40 1
130 90 36 1
131 86 21 1
132 63 7 1
133 68 3 1
134 60 64 1
135 96 47 1
10093 74 24 0
136 86 57 1
137 18 72 1
10066 48 6 0
138 14 38 1
139 35 25 1
140 83 62 1
141 29 90 1
10104 6 21 0
10035 81 59 0
142 86 69 1
143 82 91 1
144 44 71 1
145 33 1 1
146 69 90 1
147 37 92 1
148 12 50 1
149 97 84 1
150 15 100 1
151 25 34 1
152 32 69 1
153 95 16 1
154 78 45 1
155 56 58 1
10064 86 4 0
156 44 100 1
157 3 15 1
158 29 88 1
159 4 38 1
160 31 77 1
161 18 73 1
10077 30 77 0
10112 3 30 0
162 93 99 1
10087 78 13 0
10130 90 36 0
163 98 34 1
10099 37 26 0
10133 68 3 0
164 39 86 1
165 53 7 1
10041 18 33 0
10111 78 57 0
166 71 49 1
167 88 13 1
10110 7 32 0
10088 95 31 0
168 43 19 1
169 2 51 1
170 100 99 1
171 95 4 1
172 88 6 1
173 19 82 1
174 55 40 1
10148 12 50 0
10007 70 51 0
175 87 61 1
10016 24 52 0
176 11 45 1
10083 73 84 0
177 9 29 1
10030 28 62 0
178 93 25 1
10155 56 58 0
10058 68 25 0
179 49 4 1
180 7 35 1
181 90 36 1
182 44 82 1
10044 32 58 0
10021 35 45 0
183 60 95 1
184 35 49 1
10039 53 27 0
185 57 94 1
10089 46 17 0
10018 1 6 0
186 56 11 1
187 27 88 1
188 11 22 1
189 24 69 1
10147 37 92 0
190 26 94 1
10161 18 73 0
191 23 83 1
192 40 27 1
193 94 21 1
10115 82 66 0
194 71 44 1
10038 25 36 0
195 53 81 1
196 27 91 1
197 47 14 1
198 35 56 1
199 66 70 1
10071 93 32 0
200 51 96 1
201 79 10 1
202 25 3 1
203 73 12 1
10140 83 62 0
10069 90 78 0
10036 84 45 0
204 34 82 1
205 8 64 1
10034 25 86 0
206 73 77 1
207 66 100 1
208 13 23 1
209 13 67 1
210 60 86 1
211 84 64 1
212 27 67 1
213 35 60 1
10046 53 14 0
214 6 36 1
215 74 89 1
216 6 90 1
10095 68 9 0
10075 22 79 0
10103 93 42 0
217 25 39 1
218 83 8 1
219 14 31 1
220 45 93 1
221 72 31 1
10080 6 97 0
222 99 8 1
223 100 35 1
224 74 94 1
10138 14 38 0
225 88 7 1
226 24 25 1
227 45 96 1
228 80 95 1
229 86 87 1
230 25 7 1
231 80 6 1
232 25 31 1
10082 3 68 0
233 47 72 1
234 31 28 1
235 26 51 1
236 40 19 1
237 13 23 1
238 36 17 1
239 54 13 1
240 51 59 1
241 14 2 1
242 44 35 1
10181 90 36 0
243 41 63 1
244 21 58 1
10105 17 63 0
10135 96 47 0
245 21 96 1
10042 92 52 0
246 60 83 1
247 27 68 1
248 56 99 1
249 6 31 1
250 9 46 1
251 37 60 1
252 30 69 1
10011 76 72 0
10106 71 21 0
253 73 88 1
254 50 28 1
10201 79 10 0
10119 18 100 0
255 39 82 1
10120 90 53 0
256 95 87 1
257 75 59 1
258 35 40 1
259 79 88 1
260 11 2 1
261 93 31 1
262 11 6 1
263 3 45 1
264 100 49 1
10025 76 22 0
265 36 3 1
266 91 10 1
267 87 61 1
268 21 16 1
269 99 75 1
270 60 19 1
271 75 74 1
272 54 51 1
273 14 50 1
274 58 70 1
10198 35 56 0
10068 48 85 0
275 81 71 1
276 7 33 1
277 79 50 1
278 42 50 1
10211 84 64 0
10057 78 41 0
10221 72 31 0
10128 72 17 0
10015 50 5 0
10210 60 86 0
279 9 54 1
280 64 41 1
10216 6 90 0
10160 31 77 0
281 73 34 1
282 21 31 1
283 2 78 1
284 63 6 1
10012 33 49 0
285 100 16 1
286 12 25 1
287 99 6 1
288 27 10 1
10054 92 61 0
10220 45 93 0
289 68 12 1
290 11 87 1
10070 24 18 0
10213 35 60 0
10255 39 82 0
10116 9 40 0
291 77 1 1
292 12 15 1
293 66 44 1
294 11 41 1
295 6 40 1
296 63 15 1
297 20 4 1
298 20 45 1
299 68 77 1
300 93 81 1
301 88 67 1
10067 13 56 0
302 70 20 1
303 52 70 1
304 21 51 1
305 16 1 1
306 92 1 1
307 94 12 1
10212 27 67 0
308 33 43 1
10273 14 50 0
10278 42 50 0
309 6 15 1
310 6 71 1
311 67 19 1
312 93 6 1
10132 63 7 0
10175 87 61 0
313 35 8 1
314 60 40 1
315 34 14 1
10003 49 2 0
316 28 98 1
317 96 15 1
318 92 52 1
319 3 45 1
320 13 53 1
10017 10 65 0
321 28 47 1
322 42 25 1
323 89 65 1
324 71 8 1
325 44 81 1
326 47 89 1
327 35 95 1
10073 76 25 0
328 78 54 1
10218 83 8 0
329 25 29 1
330 46 58 1
10179 49 4 0
331 37 72 1
332 8 15 1
10277 79 50 0
333 59 82 1
334 75 63 1
10086 11 61 0
335 4 20 1
336 75 27 1
10206 73 77 0
337 57 97 1
10153 95 16 0
10174 55 40 0
10228 80 95 0
10185 57 94 0
338 3 73 1
339 62 66 1
340 55 31 1
341 81 21 1
10208 13 23 0
10151 25 34 0
342 24 63 1
343 88 13 1
10180 7 35 0
344 51 69 1
345 65 95 1
346 68 91 1
347 27 92 1
348 5 61 1
349 88 98 1
350 19 33 1
10060 2 75 0
351 69 29 1
10304 21 51 0
352 88 49 1
353 48 24 1
10014 84 81 0
354 57 75 1
355 38 74 1
356 79 85 1
10084 70 69 0
357 44 75 1
358 71 8 1
10256 95 87 0
10113 27 2 0
359 12 23 1
10098 29 93 0
10063 81 6 0
10245 21 96 0
360 8 32 1
361 71 47 1
10291 77 1 0
362 14 31 1
10013 93 39 0
10059 8 55 0
10182 44 82 0
363 43 29 1
10166 71 49 0
364 19 88 1
10319 3 45 0
365 66 94 1
10308 33 43 0
366 20 69 1
10005 87 41 0
10090 4 61 0
367 70 53 1
10310 6 71 0
368 77 39 1
10288 27 10 0
10118 39 1 0
369 85 36 1
